clausura	closure
bobsle	bobsled
volkswagon	volkswagen
subspecie	subspecies
borealis	aurora_borealis
tiere	tier
concer	concert
freestande	freestanding
pende	pend
tdi	garage
preppe	prepping
tufte	tuft
tattere	tatter
multicolore	multicolor
bunche	bunch
passanger	passenger
woma	woman
staman	stamen
coffere	coffered
bricke	brick
rhinocero	rhinoceros
ceile	ceil
trelli	trellis
purebre	purebred
boee	boeing
boheme	bohemian
texte	text
sterle	sterling
christma	christmas
redheade	redhead
gnar	snow
inne	inning
woode	wooden
